56	56	82	48	87	3	17	32	50	70	40	51	73	22	43	39	77	39	68	88	12	34	49	83	48	80	42	10	44	36
86	42	82	57	47	13	37	26	2	87	11	5	12	29	56	55	86	18	89	10	52	19	68	16	34	25	33	14	23	48
44	51	44	83	9	27	15	54	1	88	24	45	22	22	8	24	79	46	78	73	47	88	30	84	39	62	88	41	39	75
66	53	12	2	76	21	49	83	39	13	16	28	2	74	44	66	41	47	57	15	14	22	5	31	48	72	39	49	25	87
60	59	28	83	72	24	56	1	86	66	21	45	26	33	56	28	11	49	86	4	69	50	25	89	69	38	34	21	28	73
64	59	34	85	74	56	74	51	18	74	78	66	2	18	17	56	74	14	67	41	26	6	17	39	72	88	0	8	44	78
44	14	17	6	7	21	68	51	79	37	81	29	62	14	15	12	22	23	11	9	15	85	83	87	32	39	66	72	32	34
14	14	30	29	16	82	66	36	87	83	34	23	79	60	9	83	31	52	37	44	65	50	86	27	18	61	64	7	64	76
14	80	45	23	26	19	6	51	59	59	87	26	83	33	74	46	20	2	68	22	85	86	58	58	69	28	63	33	57	61
24	15	63	31	83	51	83	13	70	57	48	56	52	74	76	78	56	1	80	67	69	13	1	77	68	62	40	67	57	66
86	73	15	70	74	35	64	29	61	39	36	21	6	89	19	40	74	36	65	32	82	43	45	40	2	6	78	70	75	57
44	44	34	29	60	11	21	50	46	21	59	26	82	80	30	46	52	27	39	25	20	45	7	50	0	0	33	35	58	1
51	78	39	12	38	37	41	15	9	83	72	45	45	31	58	24	51	1	0	27	82	4	23	66	47	44	33	6	27	71
65	53	59	13	17	47	79	20	6	88	66	19	62	79	18	43	80	16	21	76	73	10	18	25	36	51	5	67	54	44
42	12	18	11	57	46	2	57	64	77	36	87	53	58	70	50	31	47	37	76	35	58	15	57	75	72	61	43	40	1
28	79	9	63	17	77	22	41	22	15	84	76	80	72	65	48	31	71	64	52	82	4	28	0	27	80	60	32	16	78
71	3	55	28	69	43	18	56	12	40	65	60	79	74	52	84	41	60	43	67	12	49	19	2	24	86	81	67	2	2
0	1	22	8	35	77	3	82	56	49	50	19	0	31	44	59	63	76	32	76	3	28	41	62	45	73	32	27	55	8
11	29	20	32	1	24	49	77	86	52	68	52	27	49	60	35	48	15	12	67	75	54	74	50	49	48	18	89	64	24
13	3	71	61	64	23	7	79	9	72	86	81	73	10	77	6	45	3	68	50	43	11	48	5	58	50	44	81	21	10
40	48	60	38	11	11	1	81	36	8	50	0	48	7	78	24	30	30	48	85	37	81	84	68	57	9	26	73	2	25
14	13	28	28	57	87	76	25	56	66	46	22	4	23	22	11	71	64	47	65	69	5	35	50	84	62	56	60	18	70
52	52	31	85	3	11	4	19	36	34	6	19	20	64	75	59	20	26	79	43	61	6	54	4	32	63	71	71	85	89
42	27	82	74	2	46	19	41	42	67	81	3	77	89	58	68	20	5	30	62	2	21	49	4	71	40	14	76	59	4
89	35	21	49	50	53	87	67	88	15	30	2	71	64	48	53	51	78	50	10	50	21	75	2	30	9	72	29	80	23
69	35	43	88	69	49	60	41	8	2	85	59	75	14	42	42	12	83	52	46	67	12	81	65	20	43	51	81	14	87
54	15	78	63	8	40	29	36	4	38	74	27	18	83	80	56	49	83	45	22	68	41	56	58	13	4	19	7	17	67
37	37	69	54	6	45	39	76	85	29	35	83	35	51	63	75	84	80	25	57	58	77	13	41	63	69	37	32	76	81
57	0	33	63	78	62	49	23	59	27	12	38	4	89	78	71	41	78	14	68	1	71	38	38	78	32	37	18	47	51
84	0	77	15	1	19	87	13	59	11	8	79	4	20	57	76	17	81	39	46	78	52	65	16	13	84	35	1	30	36
32	58	16	63	56	88	73	56	79	77	13	21	26	13	46	0	53	39	12	31	37	26	58	38	25	80	44	0	26	7
59	10	1	30	89	47	31	45	2	17	6	61	38	16	73	85	82	1	62	48	73	13	23	72	13	49	43	55	32	77
16	45	63	89	45	81	80	36	53	67	84	52	79	42	69	84	24	16	48	70	27	75	54	30	62	10	74	72	1	77
31	19	47	68	59	75	81	24	23	56	50	64	69	83	43	83	29	32	55	51	53	9	83	50	76	31	68	2	16	33
15	70	24	52	60	63	35	75	86	49	46	82	63	80	11	83	71	80	83	26	46	13	76	83	12	85	14	42	29	80
28	48	66	61	9	6	71	82	7	42	7	49	18	81	37	5	75	8	58	63	25	3	53	85	41	88	18	14	86	61
77	67	79	38	5	5	27	16	75	11	9	38	73	0	38	81	8	13	33	64	13	7	0	73	66	81	88	49	1	60
22	30	54	68	67	13	85	87	61	59	69	24	0	89	24	47	50	76	57	36	24	6	86	81	22	47	2	83	8	20
14	10	40	21	76	12	45	59	89	14	30	4	30	5	34	57	65	47	55	54	27	5	89	69	45	37	78	34	66	32
53	85	26	33	52	54	10	49	9	77	68	6	0	67	32	87	78	69	60	24	22	71	22	75	0	85	45	14	4	35
39	2	82	31	37	34	42	22	49	55	17	87	0	41	81	26	11	10	56	62	34	9	32	86	21	13	23	34	10	40
37	89	46	82	31	35	40	20	39	46	2	5	11	56	18	61	62	83	68	44	7	8	16	17	80	81	44	70	69	68
47	5	38	78	23	85	33	72	13	60	47	59	5	51	55	6	68	73	34	30	78	43	44	41	39	52	18	78	33	59
77	55	26	29	0	61	62	87	13	87	84	84	83	54	6	62	38	62	22	65	52	62	30	24	27	60	9	55	76	8
84	79	7	85	28	66	5	0	83	35	13	70	34	5	60	43	72	88	67	1	63	58	89	16	6	57	50	46	13	8
11	62	9	70	71	83	10	28	4	86	63	45	19	16	60	48	18	37	39	28	74	32	0	44	57	37	29	26	43	15
26	54	83	60	29	49	69	4	37	30	45	14	0	37	32	23	84	37	49	49	31	22	10	79	30	75	17	3	79	18
46	8	84	49	39	22	54	48	60	50	69	24	74	64	66	50	70	8	16	20	89	31	9	57	26	16	25	1	46	28
15	61	34	56	41	77	45	42	17	57	27	22	80	37	78	48	6	36	57	73	34	85	89	1	59	25	18	81	82	12
85	59	71	59	3	46	58	24	63	70	60	66	55	3	65	65	16	43	74	39	23	67	54	42	22	5	37	50	78	39
54	23	41	58	61	9	69	55	52	49	70	77	28	82	5	36	57	47	82	54	2	15	63	78	24	31	49	84	74	50
12	54	0	65	32	8	5	67	55	59	63	19	28	73	44	80	50	70	31	10	44	9	65	39	50	70	52	13	47	17
41	59	19	1	2	17	37	70	15	78	13	34	54	40	73	21	75	33	75	88	28	40	50	53	86	86	34	6	86	44
5	41	55	65	81	10	53	51	5	75	80	1	40	65	43	55	55	53	39	11	36	4	24	16	14	21	33	85	36	27
29	25	34	73	47	81	21	27	70	18	37	37	79	55	53	3	72	67	40	74	39	12	88	16	41	34	13	22	67	19
8	8	56	85	21	45	27	46	61	40	35	5	43	74	80	30	81	43	67	66	27	22	25	30	46	53	75	14	3	0
9	47	68	89	62	16	47	89	23	63	55	89	82	66	8	0	63	17	33	44	31	57	87	8	31	31	25	77	76	69
69	49	34	79	61	65	71	19	82	83	83	71	74	1	66	67	0	37	86	77	17	44	34	23	5	9	81	62	64	66
68	3	37	78	4	75	79	7	59	81	57	6	54	8	35	17	56	12	86	48	54	59	58	6	84	24	26	84	60	27
44	39	85	87	17	37	60	54	27	38	55	16	8	61	76	51	50	33	0	25	24	54	58	45	19	27	71	47	26	13
34	22	49	81	46	24	50	33	77	89	58	86	57	75	0	67	16	29	36	9	20	41	5	10	8	28	49	77	21	71
33	41	73	82	48	33	63	2	71	11	1	40	57	20	55	39	25	5	15	82	14	0	12	6	7	45	4	85	45	55
10	36	18	40	43	30	60	40	19	50	65	89	60	74	23	84	55	42	27	58	66	60	72	40	23	57	43	81	53	73
30	87	54	85	67	28	59	38	63	20	29	39	47	46	19	24	63	63	32	39	51	2	4	11	7	39	30	5	2	65
50	18	82	19	2	30	23	35	26	38	0	75	7	66	41	14	13	16	38	73	21	36	31	22	72	71	35	4	15	26
72	40	49	76	32	32	70	30	55	11	10	35	35	41	39	59	88	26	50	2	84	48	37	1	22	27	32	20	2	42
3	64	37	43	0	16	41	31	27	84	85	14	5	24	54	84	9	41	18	44	
